,isi_violations_ratio,isi_violations_count,amplitude_cutoff,presence_ratio
19,0.2381631319715769,4,0.0,1.0
24,0.30140526188251965,6,0.0,1.0
28,0.4686034971856068,15,0.0,1.0
39,0.0,0,0.0,1.0
41,0.2703403136482454,15,0.0011792452830188679,1.0
44,0.2755203695785096,15,0.0,1.0
45,0.07721706293193795,6,0.0,1.0
50,0.2712353462955409,1,0.0,1.0
53,0.0,0,0.0,1.0
57,0.3191120020524559,2,0.0,1.0
58,0.13758833111089924,33,0.0,1.0
63,0.0,0,0.0,1.0
64,0.0,0,,1.0
65,0.0,0,,1.0
68,0.0,0,0.0,1.0
284,0.27798201067680595,2,0.0,1.0
369,0.17971087383045586,2,0.0,1.0
386,1.0276819938175248,36,0.0,1.0
614,0.5054851448474365,25,0.0,1.0
803,0.0,0,,1.0
1004,0.8101220713058559,1,,1.0
1005,0.5267847190785172,1,,1.0
1111,3.5417197603008415,6,,1.0
1137,0.0,0,,1.0
1163,0.0,0,,1.0
1263,0.8254663139077821,184,0.0,1.0
1264,0.0,0,,1.0
1265,0.0,0,0.0,1.0
1266,0.32608798513218973,64,0.0,1.0
1267,0.39900356058269254,83,0.0,1.0
1268,0.6285318606011296,106,0.0,1.0
1270,0.25295341084827355,50,0.0,1.0
1272,0.38796286109175554,7,0.0,1.0
1273,0.4142639531664095,1,0.0,1.0
1274,0.0,0,0.0,1.0
1275,0.41786392001021416,5,0.0,1.0
1277,0.35049041852938834,30,0.0,1.0
1278,0.23390153467768557,8,0.0,1.0
1279,0.23273348888888887,8,0.0,1.0
1280,0.17180239506125453,4,0.0,1.0
1281,0.08821996584626912,4,0.0,1.0
1282,0.26593113510533034,4,0.0,1.0
1283,0.32364371341125747,2,0.0,1.0
1284,1.4538301311750084,6,0.0,1.0
